                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    166,                 1.4941,                  1.329,                 1.9579,                0.73966,                0.83567,                0.85451,                0.58564,                 1.2671,                 1.2723,                 1.8419,             0.00099631,             0.00099631,             0.00099631
                    167,                 1.3643,                 1.2299,                 1.8134,                0.68773,                0.84514,                0.84376,                0.58258,                 1.2299,                 1.1876,                 1.7944,             0.00099477,             0.00099477,             0.00099477
                    168,                 1.4415,                 1.3075,                 1.8867,                0.64741,                0.85596,                 0.8267,                0.56475,                 1.2312,                 1.1607,                 1.8048,             0.00099322,             0.00099322,             0.00099322
                    169,                 1.4394,                 1.3243,                 1.8983,                0.65633,                0.85701,                0.82678,                0.59123,                 1.1815,                 1.1191,                 1.7759,             0.00099167,             0.00099167,             0.00099167
                    170,                 1.4341,                 1.2769,                 1.8588,                0.73059,                0.80774,                0.84264,                0.58632,                 1.2208,                 1.1121,                 1.8019,             0.00099013,             0.00099013,             0.00099013
                    171,                 1.3615,                 1.2815,                 1.8608,                0.73385,                0.82903,                0.84662,                0.60231,                  1.185,                 1.1033,                 1.7554,             0.00098858,             0.00098858,             0.00098858
                    172,                 1.3817,                 1.2356,                 1.8382,                0.71493,                0.87057,                0.84157,                0.59575,                 1.1154,                  1.176,                 1.6713,             0.00098703,             0.00098703,             0.00098703
                    173,                 1.4325,                 1.3101,                 1.8737,                0.73059,                0.88739,                0.84552,                0.60651,                 1.1048,                 1.1888,                 1.6719,             0.00098548,             0.00098548,             0.00098548
                    174,                 1.3392,                 1.2227,                 1.8157,                 0.7346,                0.84697,                0.84757,                0.58961,                 1.1683,                 1.1496,                 1.7117,             0.00098394,             0.00098394,             0.00098394
                    175,                 1.3432,                 1.2705,                 1.7849,                0.72843,                0.85053,                0.84323,                0.57872,                 1.2229,                 1.2197,                 1.7638,             0.00098239,             0.00098239,             0.00098239
                    176,                 1.3839,                 1.2762,                 1.8183,                0.73682,                0.87091,                0.85489,                0.58929,                 1.1553,                   1.06,                 1.7055,             0.00098084,             0.00098084,             0.00098084
                    177,                 1.4219,                 1.2536,                  1.853,                0.73063,                0.88421,                0.87034,                0.61439,                 1.1395,                 1.1109,                 1.6851,              0.0009793,              0.0009793,              0.0009793
                    178,                 1.3158,                  1.247,                 1.7639,                0.71398,                0.92413,                0.87123,                0.60115,                 1.1752,                 1.2047,                 1.6848,             0.00097775,             0.00097775,             0.00097775
                    179,                 1.3276,                 1.2133,                 1.7812,                0.69287,                0.89583,                0.85927,                0.59112,                 1.1947,                 1.2434,                 1.6869,              0.0009762,              0.0009762,              0.0009762
                    180,                 1.3702,                 1.2652,                 1.8027,                0.69564,                0.88885,                 0.8563,                0.59462,                 1.1621,                 1.1895,                 1.6764,             0.00097466,             0.00097466,             0.00097466
                    181,                 1.3218,                   1.19,                 1.7656,                0.70843,                0.90765,                0.86347,                0.60015,                 1.1774,                 1.1463,                 1.6919,             0.00097311,             0.00097311,             0.00097311
                    182,                  1.341,                 1.1909,                 1.7782,                0.70289,                0.93314,                0.86577,                 0.5988,                 1.1762,                 1.0837,                 1.7073,             0.00097156,             0.00097156,             0.00097156
                    183,                 1.3312,                 1.2424,                  1.777,                0.71354,                0.90562,                0.86217,                0.59881,                 1.1662,                 1.0789,                 1.7316,             0.00097002,             0.00097002,             0.00097002
                    184,                 1.3839,                 1.2661,                 1.8642,                0.75488,                0.80168,                0.83725,                0.59016,                 1.1322,                 1.1452,                 1.7007,             0.00096847,             0.00096847,             0.00096847
                    185,                 1.4252,                 1.2437,                 1.8433,                 0.7454,                0.85343,                0.85139,                0.60119,                 1.1085,                 1.0993,                 1.6667,             0.00096692,             0.00096692,             0.00096692
                    186,                 1.3566,                 1.1506,                 1.7845,                  0.741,                0.86333,                0.86686,                0.61957,                 1.0755,                 1.0427,                 1.6306,             0.00096537,             0.00096537,             0.00096537
                    187,                 1.3309,                 1.1297,                 1.7678,                0.75475,                0.85295,                0.86701,                0.61844,                  1.061,                 1.0826,                 1.6159,             0.00096383,             0.00096383,             0.00096383
                    188,                 1.3439,                 1.1974,                 1.7917,                0.75811,                0.81282,                0.85835,                  0.602,                 1.1697,                 1.2148,                 1.6769,             0.00096228,             0.00096228,             0.00096228
                    189,                  1.346,                 1.3078,                 1.8404,                 0.7611,                0.84919,                0.87144,                0.62163,                 1.1848,                 1.1829,                 1.6739,             0.00096073,             0.00096073,             0.00096073
                    190,                 1.3496,                 1.1348,                 1.7784,                0.77684,                0.85536,                 0.8848,                0.63592,                 1.1753,                 1.1317,                 1.6629,             0.00095919,             0.00095919,             0.00095919
                    191,                 1.2744,                 1.2055,                 1.7665,                 0.7762,                0.83242,                0.88581,                0.64089,                 1.1676,                 1.0897,                  1.665,             0.00095764,             0.00095764,             0.00095764
                    192,                 1.3239,                 1.2213,                 1.7784,                0.77265,                0.89952,                0.89012,                0.64231,                 1.1303,                0.99811,                 1.6454,             0.00095609,             0.00095609,             0.00095609
                    193,                 1.3125,                 1.1647,                 1.8058,                0.74899,                0.90282,                0.89003,                0.64613,                 1.0735,                0.98532,                 1.6106,             0.00095455,             0.00095455,             0.00095455
                    194,                 1.3448,                 1.2322,                 1.8138,                0.76917,                0.89158,                0.89049,                0.64978,                 1.0382,                0.98714,                 1.5879,               0.000953,               0.000953,               0.000953
                    195,                 1.2658,                 1.1502,                  1.743,                0.75431,                0.90054,                0.89346,                0.64483,                 1.0398,                 1.0047,                 1.5989,             0.00095145,             0.00095145,             0.00095145
                    196,                  1.254,                 1.1711,                 1.7435,                0.73479,                0.89869,                0.86957,                0.61371,                  1.065,                 1.0329,                 1.6297,             0.00094991,             0.00094991,             0.00094991
                    197,                  1.302,                 1.1309,                 1.7137,                0.73892,                0.88269,                0.86531,                0.61308,                 1.0624,                 1.0338,                 1.6315,             0.00094836,             0.00094836,             0.00094836
                    198,                 1.3406,                 1.2237,                 1.7625,                0.74359,                0.86457,                 0.8752,                  0.632,                 1.0468,                 1.0332,                 1.6206,             0.00094681,             0.00094681,             0.00094681
                    199,                 1.4026,                 1.3011,                 1.8527,                0.72135,                0.89824,                0.87585,                0.62807,                 1.0712,                 1.0432,                 1.6373,             0.00094527,             0.00094527,             0.00094527
                    200,                 1.3115,                 1.2122,                 1.7557,                0.75112,                0.84883,                0.85963,                0.61019,                 1.1234,                 1.0193,                 1.6734,             0.00094372,             0.00094372,             0.00094372
                    201,                  1.341,                 1.2011,                 1.7461,                0.74555,                0.85971,                0.86573,                0.62137,                 1.0903,                 1.0246,                 1.6535,             0.00094217,             0.00094217,             0.00094217
                    202,                 1.2848,                 1.2232,                 1.7556,                0.74756,                0.86659,                0.87044,                0.63013,                 1.0722,                  1.025,                 1.6277,             0.00094062,             0.00094062,             0.00094062
                    203,                 1.3518,                 1.2728,                 1.7722,                0.76378,                 0.8556,                0.86988,                0.62097,                 1.0896,                   1.04,                 1.6284,             0.00093908,             0.00093908,             0.00093908
                    204,                 1.3077,                 1.2197,                 1.7002,                0.77793,                0.82159,                0.87552,                0.62035,                 1.0961,                 1.0226,                 1.6314,             0.00093753,             0.00093753,             0.00093753
                    205,                 1.3826,                 1.2729,                 1.7685,                0.70797,                0.90797,                0.86503,                0.63128,                 1.1183,                 1.0143,                 1.6224,             0.00093598,             0.00093598,             0.00093598
                    206,                  1.261,                 1.1985,                 1.7191,                0.71465,                0.88826,                 0.8664,                0.62057,                 1.1531,                 1.0133,                  1.634,             0.00093444,             0.00093444,             0.00093444
                    207,                 1.2713,                  1.185,                 1.7259,                0.73228,                0.88269,                  0.877,                0.61843,                 1.1448,                 1.0434,                  1.644,             0.00093289,             0.00093289,             0.00093289
                    208,                 1.3529,                 1.1751,                 1.7739,                0.74041,                0.89773,                0.87059,                0.63843,                 1.0848,                 1.0794,                 1.6198,             0.00093134,             0.00093134,             0.00093134
                    209,                 1.2725,                 1.1523,                 1.7216,                 0.7387,                0.87895,                0.87127,                0.62879,                 1.0699,                 1.0532,                 1.6051,              0.0009298,              0.0009298,              0.0009298
                    210,                 1.3173,                 1.2346,                 1.7553,                0.77017,                0.84943,                  0.877,                0.62694,                 1.1004,                 1.0308,                 1.6066,             0.00092825,             0.00092825,             0.00092825
                    211,                 1.3395,                 1.1775,                 1.7691,                0.74143,                0.86658,                0.87855,                0.62546,                 1.1234,                 1.0083,                 1.6042,              0.0009267,              0.0009267,              0.0009267
                    212,                 1.3155,                 1.1928,                 1.7693,                0.77313,                 0.8157,                0.88383,                 0.6452,                 1.0686,                0.99306,                 1.5782,             0.00092516,             0.00092516,             0.00092516
                    213,                 1.2784,                 1.1071,                 1.6959,                0.78948,                0.79776,                0.87618,                0.64347,                 1.0504,                0.98254,                 1.5543,             0.00092361,             0.00092361,             0.00092361
                    214,                 1.3811,                 1.2875,                 1.7866,                0.73149,                0.86709,                0.87826,                0.63587,                 1.0911,                 0.9957,                 1.5733,             0.00092206,             0.00092206,             0.00092206
                    215,                 1.2232,                 1.0654,                 1.6706,                0.72054,                0.89517,                0.88055,                0.64215,                 1.1036,                  1.003,                 1.5882,             0.00092052,             0.00092052,             0.00092052
                    216,                 1.3611,                 1.1991,                 1.7783,                0.72674,                0.90057,                0.87002,                0.64276,                 1.0759,                 1.0219,                 1.5563,             0.00091897,             0.00091897,             0.00091897
                    217,                 1.3087,                 1.1559,                 1.7729,                0.73662,                 0.9072,                0.87209,                0.63959,                 1.0338,                 1.0128,                  1.539,             0.00091742,             0.00091742,             0.00091742
                    218,                 1.2728,                 1.1542,                 1.7284,                0.78715,                0.85393,                 0.8771,                0.63866,                  1.062,                0.98698,                 1.5686,             0.00091588,             0.00091588,             0.00091588
                    219,                 1.2626,                 1.1452,                 1.7121,                0.76428,                0.89529,                0.88095,                0.63896,                 1.0963,                0.97437,                 1.5905,             0.00091433,             0.00091433,             0.00091433
                    220,                 1.2151,                  1.048,                 1.6314,                0.79685,                0.82964,                0.87972,                 0.6421,                 1.0994,                 1.0285,                 1.6014,             0.00091278,             0.00091278,             0.00091278
                    221,                 1.2472,                 1.1497,                 1.6486,                0.78699,                0.83258,                0.88567,                0.65213,                 1.0966,                 1.0682,                 1.5949,             0.00091123,             0.00091123,             0.00091123
                    222,                 1.1496,                 1.0841,                 1.6177,                0.78383,                0.82345,                0.88879,                0.66664,                 1.0739,                 1.0657,                 1.5874,             0.00090969,             0.00090969,             0.00090969
                    223,                 1.2833,                 1.1716,                 1.7003,                0.74236,                0.85991,                0.89089,                0.66313,                 1.0601,                 1.0586,                 1.5766,             0.00090814,             0.00090814,             0.00090814
                    224,                 1.3373,                  1.197,                 1.7782,                0.72063,                0.87664,                0.87144,                0.64202,                 1.0655,                 1.0191,                 1.5624,             0.00090659,             0.00090659,             0.00090659
                    225,                 1.2286,                 1.0955,                 1.6189,                0.74564,                0.88117,                0.86807,                0.65311,                 1.0203,                 1.0007,                 1.5556,             0.00090505,             0.00090505,             0.00090505
                    226,                 1.2756,                  1.163,                 1.7241,                0.77573,                0.85127,                0.87302,                0.62695,                 1.0885,                 1.0208,                  1.605,              0.0009035,              0.0009035,              0.0009035
                    227,                 1.2216,                 1.0823,                 1.6693,                0.74623,                0.85985,                0.86016,                0.59092,                 1.1891,                  1.068,                 1.6682,             0.00090195,             0.00090195,             0.00090195
                    228,                 1.3263,                 1.1805,                 1.7265,                0.77115,                0.85651,                0.84439,                0.62637,                 1.0672,                 1.0226,                 1.5708,             0.00090041,             0.00090041,             0.00090041
                    229,                 1.2615,                 1.1016,                 1.7107,                0.72715,                0.89442,                0.85722,                0.65195,                0.99481,                0.99034,                 1.5297,             0.00089886,             0.00089886,             0.00089886
                    230,                 1.2294,                 1.1318,                 1.6684,                0.73342,                  0.917,                0.86573,                0.65354,                0.97948,                0.95353,                 1.5298,             0.00089731,             0.00089731,             0.00089731
                    231,                 1.2954,                 1.2208,                 1.7309,                0.74263,                0.91089,                0.88735,                0.65821,                 1.0218,                0.91806,                 1.5652,             0.00089577,             0.00089577,             0.00089577
                    232,                 1.2391,                 1.1477,                  1.685,                 0.7482,                0.88447,                0.88879,                0.64075,                 1.0306,                0.94523,                 1.5876,             0.00089422,             0.00089422,             0.00089422
                    233,                 1.3441,                 1.1878,                 1.7168,                0.75326,                0.91507,                0.88836,                0.64287,                0.99953,                0.93149,                 1.5356,             0.00089267,             0.00089267,             0.00089267
                    234,                  1.262,                  1.112,                 1.6712,                0.76717,                0.88048,                0.89047,                0.64442,                 1.0311,                0.89624,                  1.556,             0.00089112,             0.00089112,             0.00089112
                    235,                 1.3142,                  1.176,                 1.7405,                0.73955,                0.90037,                0.88242,                0.64422,                 1.0721,                0.92454,                 1.5964,             0.00088958,             0.00088958,             0.00088958
                    236,                 1.2039,                 1.0714,                 1.6407,                0.70822,                0.90266,                0.83646,                0.60635,                 1.0127,                0.96874,                 1.5494,             0.00088803,             0.00088803,             0.00088803
                    237,                 1.3502,                 1.1976,                 1.7561,                0.73405,                0.90701,                0.84664,                0.62863,                0.96917,                0.94439,                 1.5052,             0.00088648,             0.00088648,             0.00088648
                    238,                 1.2611,                  1.062,                 1.6465,                0.74425,                 0.9161,                0.85645,                0.64856,                0.96827,                0.92253,                 1.4949,             0.00088494,             0.00088494,             0.00088494
                    239,                 1.2928,                 1.1323,                 1.7263,                0.72323,                0.92098,                 0.8755,                0.65553,                0.99682,                0.92199,                 1.5116,             0.00088339,             0.00088339,             0.00088339
                    240,                 1.2748,                 1.2033,                 1.7227,                0.74687,                0.91042,                 0.8757,                0.65237,                 1.0138,                 1.0211,                 1.5597,             0.00088184,             0.00088184,             0.00088184
                    241,                 1.2905,                 1.0799,                 1.7144,                0.73679,                0.91615,                0.87554,                0.64749,                 1.0005,                0.99427,                 1.5341,              0.0008803,              0.0008803,              0.0008803
                    242,                  1.283,                 1.1575,                 1.7024,                0.74174,                0.92743,                0.87661,                0.62539,                 1.0474,                0.94637,                 1.5527,             0.00087875,             0.00087875,             0.00087875
                    243,                 1.2387,                 1.0747,                 1.6481,                0.73572,                0.91463,                0.87895,                0.62302,                  1.073,                0.93033,                 1.5768,              0.0008772,              0.0008772,              0.0008772
                    244,                 1.2956,                 1.1857,                 1.6995,                0.78844,                0.88215,                0.88338,                0.66096,                 1.0204,                0.91398,                 1.5382,             0.00087566,             0.00087566,             0.00087566
                    245,                  1.231,                 1.1331,                  1.686,                0.77366,                0.89981,                0.88732,                0.66347,                 1.0007,                0.89896,                  1.532,             0.00087411,             0.00087411,             0.00087411
                    246,                 1.2169,                 1.0772,                 1.6502,                0.78965,                0.87792,                0.88625,                0.65883,                 1.0038,                0.90229,                 1.5362,             0.00087256,             0.00087256,             0.00087256
                    247,                 1.2298,                 1.1159,                 1.6651,                0.76843,                0.93311,                0.88553,                0.65892,                 1.0134,                0.89611,                 1.5363,             0.00087102,             0.00087102,             0.00087102
                    248,                 1.2565,                  1.049,                 1.6662,                0.74922,                0.89962,                 0.8919,                0.66953,                 1.0262,                 0.8871,                 1.5227,             0.00086947,             0.00086947,             0.00086947
                    249,                 1.2002,                 1.0905,                 1.6361,                0.77045,                0.89753,                0.89521,                0.67335,                0.99582,                0.86362,                 1.5093,             0.00086792,             0.00086792,             0.00086792
                    250,                 1.2306,                 1.0496,                 1.6463,                0.76838,                0.91243,                0.90245,                0.68683,                0.94826,                0.84612,                 1.4904,             0.00086637,             0.00086637,             0.00086637
                    251,                 1.2902,                 1.1407,                  1.716,                0.78613,                0.90085,                0.90459,                0.68869,                 0.9452,                0.85557,                 1.4985,             0.00086483,             0.00086483,             0.00086483
                    252,                 1.2479,                 1.0705,                 1.6513,                0.78224,                0.88125,                0.90585,                0.66263,                   1.05,                0.90505,                 1.5587,             0.00086328,             0.00086328,             0.00086328
                    253,                 1.2522,                 1.0992,                  1.665,                0.78149,                0.87681,                0.90379,                0.66062,                 1.0654,                0.91644,                 1.5557,             0.00086173,             0.00086173,             0.00086173
                    254,                 1.1356,                 1.0205,                 1.5715,                0.80064,                0.85337,                0.89961,                0.65992,                 1.0868,                0.93128,                 1.5551,             0.00086019,             0.00086019,             0.00086019
                    255,                 1.1913,                 1.0854,                 1.6256,                0.78577,                0.85768,                0.89267,                0.64916,                 1.0964,                 1.0032,                 1.5499,             0.00085864,             0.00085864,             0.00085864
                    256,                  1.212,                 1.0966,                 1.6419,                0.75705,                0.87805,                0.87798,                0.65713,                0.98582,                 1.0345,                 1.4757,             0.00085709,             0.00085709,             0.00085709
                    257,                  1.202,                 1.0631,                 1.6236,                0.74575,                 0.9105,                0.88649,                0.66245,                0.96588,                 1.0092,                 1.4698,             0.00085555,             0.00085555,             0.00085555
                    258,                  1.181,                 1.0566,                 1.6315,                0.73361,                0.92569,                 0.8807,                0.65472,                0.97224,                0.95476,                 1.4888,               0.000854,               0.000854,               0.000854
                    259,                 1.1863,                 1.0527,                 1.6023,                0.73473,                0.95116,                0.86936,                0.63744,                 0.9677,                0.90489,                 1.5051,             0.00085245,             0.00085245,             0.00085245
                    260,                 1.1836,                  1.102,                  1.647,                0.80381,                0.85094,                0.87837,                0.64123,                0.96842,                0.84865,                 1.4885,             0.00085091,             0.00085091,             0.00085091
                    261,                 1.1869,                  1.055,                   1.62,                0.81373,                0.86528,                0.88123,                0.66463,                0.91577,                0.82402,                 1.4466,             0.00084936,             0.00084936,             0.00084936
                    262,                 1.1832,                 1.0559,                 1.5829,                0.77473,                0.89332,                0.88461,                0.66751,                0.94208,                0.82518,                 1.4449,             0.00084781,             0.00084781,             0.00084781
                    263,                 1.2318,                 1.1694,                 1.6824,                0.76878,                 0.8801,                0.87856,                0.65378,                0.97214,                0.84602,                 1.4617,             0.00084627,             0.00084627,             0.00084627
                    264,                 1.1697,                 1.0212,                 1.6332,                0.81514,                0.86123,                0.87698,                0.65418,                0.93941,                0.84683,                 1.4535,             0.00084472,             0.00084472,             0.00084472
                    265,                 1.1936,                 1.1007,                 1.5987,                0.78956,                0.87687,                0.88341,                0.65896,                0.91139,                0.83245,                 1.4363,             0.00084317,             0.00084317,             0.00084317
                    266,                 1.1646,                 1.0772,                 1.5947,                 0.7862,                 0.8788,                0.89075,                0.67325,                0.88679,                 0.8259,                 1.4181,             0.00084162,             0.00084162,             0.00084162
                    267,                 1.1798,                 1.0132,                 1.6115,                0.76141,                0.89963,                 0.8962,                0.68191,                  0.896,                0.84949,                 1.4379,             0.00084008,             0.00084008,             0.00084008
                    268,                 1.1709,                 1.0479,                   1.62,                0.75224,                0.91784,                0.90271,                0.67036,                 0.9439,                 0.8908,                 1.4518,             0.00083853,             0.00083853,             0.00083853
                    269,                 1.2128,                 1.1253,                 1.6185,                0.76776,                0.91617,                0.90186,                0.68531,                0.89981,                0.88892,                 1.4133,             0.00083698,             0.00083698,             0.00083698
                    270,                 1.1425,                  1.067,                 1.5921,                0.76315,                0.88969,                0.89643,                0.67517,                0.91781,                0.89541,                 1.4261,             0.00083544,             0.00083544,             0.00083544
                    271,                   1.19,                 1.0173,                 1.5839,                0.79517,                0.88047,                0.88392,                0.65838,                0.93745,                0.89637,                 1.4368,             0.00083389,             0.00083389,             0.00083389
                    272,                 1.2208,                 1.0577,                 1.6224,                0.76978,                0.90694,                 0.8798,                0.66138,                0.97786,                  0.875,                 1.4491,             0.00083234,             0.00083234,             0.00083234
                    273,                 1.1867,                 1.1022,                 1.6027,                0.77274,                0.91669,                0.89288,                 0.6711,                 0.9833,                 0.8262,                 1.4473,              0.0008308,              0.0008308,              0.0008308
                    274,                 1.1155,                 1.0174,                 1.5603,                0.78572,                0.93277,                0.90885,                0.70144,                0.95071,                0.80264,                 1.4279,             0.00082925,             0.00082925,             0.00082925
                    275,                 1.1812,                 1.0773,                 1.5874,                0.78446,                0.90907,                 0.9103,                0.70804,                0.92879,                0.81368,                 1.4274,              0.0008277,              0.0008277,              0.0008277
                    276,                 1.1732,                 1.0318,                 1.6056,                0.80657,                0.88752,                0.90963,                0.69889,                0.88532,                0.80473,                 1.4199,             0.00082616,             0.00082616,             0.00082616
                    277,                 1.1447,                 1.0343,                 1.5877,                0.77771,                0.93351,                0.91147,                0.69872,                0.89315,                0.79167,                   1.43,             0.00082461,             0.00082461,             0.00082461
                    278,                  1.104,                0.95469,                 1.5523,                0.78089,                0.90838,                0.91567,                0.69977,                0.88888,                0.78349,                 1.4169,             0.00082306,             0.00082306,             0.00082306
                    279,                 1.2043,                 1.1029,                 1.6259,                0.77808,                0.92443,                0.91598,                0.70261,                0.89682,                0.79846,                 1.4114,             0.00082152,             0.00082152,             0.00082152
                    280,                 1.1624,                 1.0449,                 1.5833,                0.77167,                0.90062,                0.90339,                0.68695,                0.92165,                0.81019,                 1.4464,             0.00081997,             0.00081997,             0.00081997
                    281,                 1.1547,                 1.0053,                 1.5539,                0.78316,                0.88226,                0.91164,                0.69391,                0.91322,                0.77323,                 1.4626,             0.00081842,             0.00081842,             0.00081842
                    282,                 1.1528,                 1.0058,                 1.5471,                0.77995,                0.91012,                0.92172,                0.70133,                0.89602,                0.75282,                 1.4504,             0.00081688,             0.00081688,             0.00081688
                    283,                 1.2263,                 1.0781,                 1.6648,                0.77619,                0.91645,                0.92576,                0.70388,                0.87939,                0.77563,                 1.4347,             0.00081533,             0.00081533,             0.00081533
                    284,                  1.197,                 1.1018,                 1.6174,                0.81077,                0.86588,                0.91576,                0.71175,                0.86535,                0.86849,                 1.3959,             0.00081378,             0.00081378,             0.00081378
                    285,                 1.1708,                 1.0388,                 1.6058,                0.80182,                0.87627,                0.91149,                0.70169,                0.89235,                0.87818,                 1.4026,             0.00081223,             0.00081223,             0.00081223
                    286,                 1.1394,                 1.1217,                 1.5728,                0.81057,                0.84812,                0.91113,                0.69624,                0.90746,                0.84869,                  1.407,             0.00081069,             0.00081069,             0.00081069
                    287,                 1.1131,                 1.0487,                 1.5359,                0.82902,                0.84294,                0.91245,                0.70156,                0.89363,                0.80712,                 1.4109,             0.00080914,             0.00080914,             0.00080914
                    288,                 1.1073,                  0.968,                 1.5592,                0.81291,                0.87498,                0.91681,                0.71169,                0.90306,                0.78422,                  1.402,             0.00080759,             0.00080759,             0.00080759
                    289,                 1.0777,                0.99115,                 1.4994,                0.78695,                0.88691,                0.91611,                0.70138,                0.91442,                0.79341,                 1.4117,             0.00080605,             0.00080605,             0.00080605
                    290,                 1.1288,                 0.9641,                 1.5331,                 0.7892,                0.90332,                0.91455,                0.70147,                0.91982,                0.78635,                 1.4226,              0.0008045,              0.0008045,              0.0008045
                    291,                 1.1097,                0.97291,                 1.5409,                0.78209,                0.92804,                0.91344,                0.70567,                0.90996,                 0.7819,                 1.4121,             0.00080295,             0.00080295,             0.00080295
                    292,                 1.1294,                 1.0307,                 1.5422,                0.78289,                0.89678,                0.89975,                0.70323,                0.87564,                0.77865,                 1.3901,             0.00080141,             0.00080141,             0.00080141
                    293,                 1.1806,                 1.0428,                 1.6004,                0.75166,                0.95122,                0.89561,                 0.6881,                0.87091,                0.77415,                 1.3685,             0.00079986,             0.00079986,             0.00079986
                    294,                 1.1704,                 1.0528,                 1.6262,                0.76773,                0.91848,                0.88648,                0.64883,                0.96325,                0.81411,                 1.4165,             0.00079831,             0.00079831,             0.00079831
                    295,                 1.1711,                0.96361,                 1.5907,                0.75714,                0.91653,                0.87445,                0.60758,                 1.0841,                0.85167,                 1.4745,             0.00079677,             0.00079677,             0.00079677
                    296,                 1.1993,                 1.0773,                 1.5885,                0.80035,                0.85851,                0.88092,                0.65628,                0.94747,                0.82408,                 1.4095,             0.00079522,             0.00079522,             0.00079522
                    297,                 1.0999,                0.98959,                  1.541,                0.81005,                0.86489,                0.89195,                0.67703,                0.90943,                0.78551,                 1.4103,             0.00079367,             0.00079367,             0.00079367
                    298,                 1.1586,                0.98615,                  1.605,                0.79717,                0.87849,                0.89121,                0.67415,                0.94906,                0.79347,                 1.4254,             0.00079213,             0.00079213,             0.00079213
                    299,                 1.2273,                 1.0384,                 1.6331,                0.75215,                0.93123,                0.89607,                0.68021,                0.94849,                0.83119,                 1.4213,             0.00079058,             0.00079058,             0.00079058
